WinningCards	DiscardedCards:0	DiscardedCards:1	ActionsPlayedWin:0
Handmaid.end	10	10	
Baron	2	2	
Guard	7	7	
Baron	9	9	
Baron	4	4	Baron
Baron	4	4	Baron,Guard
King.end	10	10	Guard,Countess,Handmaid,Baron,Guard,Guard
Baron	5	5	
Baron	3	3	Baron
Baron.opp	9	9	
Guard	11	11	
Guard	2	2	Guard
Guard	2	2	Guard
Baron.opp	11	11	Princess,Prince,Guard,Handmaid
Guard	5	5	
Baron	5	5	
Baron	4	4	
Baron.opp	3	3	
Baron	5	5	
Baron.opp	3	3	
Baron.opp	2	2	
Guard	10	10	
Baron.opp	2	2	
Baron	9	9	Baron,Handmaid,Guard
Baron	9	9	Baron,Handmaid,Handmaid,Priest,Princess
Baron	5	5	Baron,Prince
Baron	4	4	Baron,Guard
Guard	6	6	Guard,Baron,Guard
Baron.opp	7	7	
Baron.opp	3	3	
Guard	7	7	Guard,King,Handmaid
Handmaid.end	10	10	Guard,Guard,Priest,King,Princess,Guard
Prince.opp	9	9	Prince,Handmaid,Priest,Prince
Baron	9	9	Baron,Handmaid,Priest,Princess,Handmaid
Baron.opp	4	4	
Baron	2	2	
Baron	3	3	Baron
Guard	10	10	
Guard	5	5	
Baron.opp	2	2	
Guard	9	9	Guard,Handmaid,Princess,King,Guard
Baron	2	2	Baron
Baron.opp	3	3	Priest
Guard	3	3	
Baron	5	5	
Baron.opp	3	3	
Baron.opp	3	3	
Baron	6	6	Baron,Handmaid
Baron.opp	2	2	
Guard	8	8	Guard,King,Prince,Handmaid
Guard	11	11	Guard,Priest,Handmaid,King,Princess,Guard
Baron	5	5	Baron,Countess
Baron	3	3	
Baron	4	4	
Baron.opp	4	4	
Baron	2	2	
Baron.opp	5	5	
Baron	6	6	Baron,Countess
Prince.opp	8	8	
Baron	5	5	
Handmaid.end	10	10	
Prince.opp	10	10	
Guard	2	2	Guard
Baron	7	7	Baron,Guard,Guard
Baron	5	5	
Baron.opp	3	3	
Baron.end	10	10	
Guard	10	10	Guard,Handmaid,Priest,Guard,Guard
Baron	2	2	Baron
Baron.opp	3	3	Priest
Baron	6	6	Baron,Guard,Guard
Baron.opp	2	2	
King.end	10	10	
Baron	7	7	
Guard	8	8	
King.end	10	10	Guard,Countess,Handmaid,Baron,Guard,Guard
Baron	5	5	
Guard	2	2	
Baron.opp	2	2	
Guard	11	11	Guard,Guard,Handmaid,Priest,Guard
Baron	2	2	Baron
Baron.opp	3	3	Priest
Guard	4	4	Guard,Guard
Baron.opp	2	2	
Guard	6	6	Guard,Guard
King.end	10	10	Guard,Guard,Priest,Handmaid,Guard
Guard	5	5	
Guard	6	6	
Guard	10	10	Guard,Handmaid,Guard,Princess,Guard
Baron	2	2	Baron
Baron	3	3	
Guard	3	3	Guard
Baron.opp	2	2	
Guard	4	4	
Baron	9	9	
Guard	11	11	
Baron	7	7	Baron,Prince,Guard
Baron	2	2	Baron
Guard	11	11	Guard,Handmaid,Prince,Priest,King,Guard
Baron	2	2	Baron
Baron.opp	3	3	Priest
Baron	6	6	Baron,Guard,Guard
Baron.opp	2	2	
Guard	11	11	Guard,King,Priest,Prince,Guard
Baron	2	2	Baron
Guard	10	10	
Baron.opp	2	2	
Baron	5	5	
Baron	4	4	
Baron	2	2	
Guard	11	11	Guard,Handmaid,Guard,King,Guard
Guard	6	6	
Prince.end	10	10	Handmaid,Princess,Guard,Prince,Priest
Baron.opp	3	3	Guard
Guard	11	11	Guard,Prince,Priest,Handmaid,Guard
Guard	7	7	
Guard	7	7	
Guard	11	11	Guard,Princess,Handmaid,King,Guard
Baron	2	2	Baron
Baron.opp	5	5	Guard,Priest
Guard	4	4	Guard,Guard
