GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,WinnerType
-1321594639,Descent2e,4,GAME_OVER,243,0,4,268,overlord
-1127357064,Descent2e,3,GAME_OVER,179,1,4,269,hero
1637927349,Descent2e,4,GAME_OVER,238,0,4,270,overlord
513738248,Descent2e,4,GAME_OVER,198,0,4,271,overlord
-1286324348,Descent2e,4,GAME_OVER,227,0,4,272,overlord
-84487886,Descent2e,4,GAME_OVER,250,0,4,273,overlord
-574335371,Descent2e,4,GAME_OVER,249,0,4,274,overlord
-2013315022,Descent2e,4,GAME_OVER,213,0,4,275,overlord
-562171916,Descent2e,3,GAME_OVER,183,2,4,276,hero
-36790718,Descent2e,3,GAME_OVER,184,0,4,277,hero
1190962726,Descent2e,4,GAME_OVER,236,0,4,278,overlord
-896255439,Descent2e,4,GAME_OVER,236,0,4,279,overlord
-549546384,Descent2e,4,GAME_OVER,240,0,4,280,overlord
1198075658,Descent2e,4,GAME_OVER,233,0,4,281,overlord
15182467,Descent2e,4,GAME_OVER,251,0,4,282,overlord
1647649545,Descent2e,3,GAME_OVER,174,0,4,283,hero
126951839,Descent2e,4,GAME_OVER,240,0,4,284,overlord
-1203609223,Descent2e,4,GAME_OVER,231,0,4,285,overlord
-1323214870,Descent2e,3,GAME_OVER,202,0,4,286,hero
959109931,Descent2e,4,GAME_OVER,228,0,4,287,overlord
559022089,Descent2e,4,GAME_OVER,224,0,4,288,overlord
-1323421024,Descent2e,4,GAME_OVER,251,0,4,289,overlord
806994786,Descent2e,5,GAME_OVER,287,0,4,290,overlord
-1241361365,Descent2e,4,GAME_OVER,234,0,4,291,overlord
-1531078731,Descent2e,4,GAME_OVER,246,0,4,292,overlord
1770981253,Descent2e,4,GAME_OVER,262,0,4,293,overlord
18914527,Descent2e,4,GAME_OVER,253,0,4,294,overlord
-688343115,Descent2e,4,GAME_OVER,249,0,4,295,overlord
292295698,Descent2e,4,GAME_OVER,184,0,4,296,overlord
-1806225609,Descent2e,4,GAME_OVER,249,0,4,297,overlord
758614468,Descent2e,4,GAME_OVER,256,0,4,298,overlord
1150192065,Descent2e,4,GAME_OVER,225,0,4,299,overlord
-1482576358,Descent2e,4,GAME_OVER,245,0,4,300,overlord
546828834,Descent2e,4,GAME_OVER,232,0,4,301,overlord
-984538200,Descent2e,4,GAME_OVER,236,0,4,302,overlord
871250437,Descent2e,4,GAME_OVER,219,0,4,303,hero
-1550265676,Descent2e,2,GAME_OVER,152,2,4,304,hero
856801956,Descent2e,4,GAME_OVER,249,0,4,305,overlord
-826630308,Descent2e,4,GAME_OVER,198,0,4,306,overlord
1806031019,Descent2e,4,GAME_OVER,243,0,4,307,overlord
-958543015,Descent2e,4,GAME_OVER,243,0,4,308,overlord
-1428266273,Descent2e,4,GAME_OVER,191,0,4,309,overlord
-1144365011,Descent2e,4,GAME_OVER,234,0,4,310,overlord
955966020,Descent2e,4,GAME_OVER,218,0,4,311,overlord
-1289106182,Descent2e,4,GAME_OVER,265,0,4,312,overlord
306648016,Descent2e,4,GAME_OVER,210,0,4,313,overlord
600701797,Descent2e,5,GAME_OVER,326,0,4,314,overlord
1293571835,Descent2e,4,GAME_OVER,232,0,4,315,overlord
-928673503,Descent2e,4,GAME_OVER,252,0,4,316,overlord
2078679456,Descent2e,4,GAME_OVER,243,0,4,317,overlord
1138126872,Descent2e,4,GAME_OVER,250,0,4,318,overlord
1859555597,Descent2e,4,GAME_OVER,226,0,4,319,overlord
-1386619562,Descent2e,4,GAME_OVER,241,0,4,320,overlord
-815505094,Descent2e,4,GAME_OVER,245,0,4,321,overlord
111777564,Descent2e,4,GAME_OVER,235,0,4,322,overlord
-2100851080,Descent2e,4,GAME_OVER,224,0,4,323,overlord
-820601661,Descent2e,4,GAME_OVER,218,0,4,324,overlord
-1793559779,Descent2e,4,GAME_OVER,196,1,4,325,hero
1091309400,Descent2e,4,GAME_OVER,259,0,4,326,overlord
1740218866,Descent2e,4,GAME_OVER,284,0,4,327,overlord
1786736666,Descent2e,3,GAME_OVER,182,2,4,328,hero
-1646862478,Descent2e,5,GAME_OVER,314,0,4,329,overlord
1493641793,Descent2e,5,GAME_OVER,283,0,4,330,overlord
-2086551780,Descent2e,4,GAME_OVER,224,0,4,331,overlord
1668732854,Descent2e,4,GAME_OVER,233,0,4,332,overlord
-2120261791,Descent2e,4,GAME_OVER,209,0,4,333,overlord
1459788962,Descent2e,4,GAME_OVER,219,0,4,334,overlord
219010551,Descent2e,4,GAME_OVER,199,1,4,335,hero
1661950976,Descent2e,4,GAME_OVER,197,0,4,336,overlord
-37427297,Descent2e,4,GAME_OVER,255,0,4,337,overlord
247592859,Descent2e,4,GAME_OVER,256,0,4,338,overlord
1098576278,Descent2e,5,GAME_OVER,221,0,4,339,overlord
-1078175724,Descent2e,5,GAME_OVER,266,0,4,340,overlord
-1359787957,Descent2e,3,GAME_OVER,181,3,4,341,hero
-1865273877,Descent2e,4,GAME_OVER,260,0,4,342,overlord
-379449835,Descent2e,4,GAME_OVER,241,0,4,343,overlord
334645923,Descent2e,4,GAME_OVER,221,0,4,344,overlord
-2041678342,Descent2e,4,GAME_OVER,220,2,4,345,hero
-621565583,Descent2e,4,GAME_OVER,237,0,4,346,overlord
308795849,Descent2e,4,GAME_OVER,246,0,4,347,overlord
-1610559206,Descent2e,4,GAME_OVER,266,0,4,348,overlord
135581712,Descent2e,5,GAME_OVER,290,4,4,349,overlord
-70142737,Descent2e,4,GAME_OVER,193,0,4,350,overlord
-2044013128,Descent2e,5,GAME_OVER,278,0,4,351,overlord
-1813073661,Descent2e,5,GAME_OVER,325,0,4,352,overlord
-823199663,Descent2e,4,GAME_OVER,235,0,4,353,hero
-870302191,Descent2e,4,GAME_OVER,237,0,4,354,overlord
-1410430645,Descent2e,4,GAME_OVER,240,0,4,355,overlord
-1211984980,Descent2e,5,GAME_OVER,275,0,4,356,overlord
-1095954505,Descent2e,4,GAME_OVER,234,0,4,357,overlord
2034578350,Descent2e,4,GAME_OVER,218,0,4,358,overlord
-1676034750,Descent2e,4,GAME_OVER,242,0,4,359,overlord
304699397,Descent2e,4,GAME_OVER,219,0,4,360,hero
-1663406971,Descent2e,4,GAME_OVER,249,0,4,361,overlord
1682113612,Descent2e,4,GAME_OVER,236,0,4,362,overlord
-781651481,Descent2e,4,GAME_OVER,251,0,4,363,overlord
-1055580466,Descent2e,4,GAME_OVER,237,0,4,364,overlord
-1701962341,Descent2e,4,GAME_OVER,229,0,4,365,overlord
250478825,Descent2e,4,GAME_OVER,224,0,4,366,overlord
605389958,Descent2e,3,GAME_OVER,171,1,4,367,hero
872314097,Descent2e,4,GAME_OVER,265,0,4,368,overlord
2054147852,Descent2e,4,GAME_OVER,235,0,4,369,overlord
-1043421192,Descent2e,4,GAME_OVER,230,0,4,370,overlord
1514485788,Descent2e,4,GAME_OVER,240,0,4,371,overlord
-31244244,Descent2e,5,GAME_OVER,278,0,4,372,overlord
-45227027,Descent2e,4,GAME_OVER,236,0,4,373,overlord
1252990121,Descent2e,4,GAME_OVER,236,0,4,374,overlord
1310528845,Descent2e,4,GAME_OVER,262,0,4,375,overlord
246764018,Descent2e,4,GAME_OVER,240,0,4,376,overlord
-937764496,Descent2e,4,GAME_OVER,244,0,4,377,overlord
1056067181,Descent2e,4,GAME_OVER,218,0,4,378,overlord
1611519387,Descent2e,4,GAME_OVER,207,2,4,379,hero
-274414445,Descent2e,5,GAME_OVER,340,0,4,380,overlord
83183408,Descent2e,4,GAME_OVER,247,0,4,381,overlord
-508062535,Descent2e,4,GAME_OVER,251,0,4,382,overlord
43994581,Descent2e,4,GAME_OVER,191,0,4,383,overlord
-942635366,Descent2e,4,GAME_OVER,257,0,4,384,overlord
658444493,Descent2e,5,GAME_OVER,252,0,4,385,overlord
-2068462839,Descent2e,5,GAME_OVER,269,0,4,386,overlord
-1218212916,Descent2e,4,GAME_OVER,258,0,4,387,overlord
-181815179,Descent2e,5,GAME_OVER,286,0,4,388,overlord
-570581829,Descent2e,4,GAME_OVER,245,0,4,389,overlord
-1880819417,Descent2e,4,GAME_OVER,258,0,4,390,overlord
-636380340,Descent2e,5,GAME_OVER,310,0,4,391,overlord
-1124286373,Descent2e,4,GAME_OVER,206,0,4,392,overlord
-653908905,Descent2e,4,GAME_OVER,230,0,4,393,overlord
1874768812,Descent2e,4,GAME_OVER,238,0,4,394,overlord
1381181002,Descent2e,3,GAME_OVER,181,2,4,395,hero
-2040711062,Descent2e,4,GAME_OVER,274,0,4,396,overlord
1645637947,Descent2e,4,GAME_OVER,240,0,4,397,overlord
1615847623,Descent2e,4,GAME_OVER,236,0,4,398,overlord
1708090457,Descent2e,4,GAME_OVER,253,0,4,399,overlord
1927289615,Descent2e,5,GAME_OVER,309,0,4,400,overlord
1277926354,Descent2e,4,GAME_OVER,214,0,4,401,overlord
1288764732,Descent2e,4,GAME_OVER,246,0,4,402,overlord
-844034718,Descent2e,4,GAME_OVER,240,0,4,403,overlord
-1230909015,Descent2e,5,GAME_OVER,278,0,4,404,overlord
-1771200722,Descent2e,3,GAME_OVER,174,1,4,405,hero
-197886544,Descent2e,5,GAME_OVER,239,0,4,406,overlord
1015825300,Descent2e,4,GAME_OVER,220,0,4,407,overlord
1884031344,Descent2e,4,GAME_OVER,231,0,4,408,overlord
-1642080744,Descent2e,4,GAME_OVER,260,0,4,409,overlord
-480507869,Descent2e,4,GAME_OVER,230,0,4,410,overlord
912566425,Descent2e,5,GAME_OVER,270,0,4,411,overlord
-1096191341,Descent2e,4,GAME_OVER,224,0,4,412,overlord
2037626216,Descent2e,4,GAME_OVER,223,0,4,413,overlord
296305084,Descent2e,4,GAME_OVER,221,2,4,414,hero
2078478857,Descent2e,5,GAME_OVER,242,0,4,415,overlord
-1718366816,Descent2e,4,GAME_OVER,260,0,4,416,overlord
1159485335,Descent2e,4,GAME_OVER,247,0,4,417,overlord
2091332812,Descent2e,4,GAME_OVER,249,0,4,418,overlord
